tool_name,PMID,publicationDOI,URL,biotoolsID,commit_id_260317
ForSys,41158865,10.1016/j.isci.2025.113685,https://github.com/borgesaugusto/forsys,,18bdbf77fb73a65500e05e8c6aae28f168006ada
COSORE,33026137,10.1111/gcb.15353,https://github.com/bpbond/cosore,,02f32e8e7f9a0f1c26c9dad61c574aef863f1df1
IRIDIA-AF,37853076,10.1038/s41597-023-02621-1,https://github.com/cedricgilon/iridia-af,,9507310438a6862e2faa153bd741723ff5b73ce1
CompareM2,40971807,10.1093/bioinformatics/btaf517,https://github.com/cmkobel/comparem2,,2baaf8e0b20322ac65836b7365b4ab310e9a7f47
Pheno-Ranker,39633268,10.1186/s12859-024-05993-2,https://github.com/CNAG-Biomedical-Informatics/pheno-ranker,,1e532a02e1b0a9fe828525bddf761752f008e3d6
BMAT,36451357,10.1016/j.nicl.2022.103252,https://github.com/ColinVDB/BMAT,,07e4cee04c12d81ee6be5c6a8b939f5c8be34673
COSGAP,38808072,10.1093/bioadv/vbae067,https://github.com/comorment/containers,,5f7d420197ccff8853f2758ab6feff5017192df0
pytximport,39565903,10.1093/bioinformatics/btae700,https://github.com/complextissue/pytximport,,cc3d52f9a1717cb58db1e732246aba7330008a27
COSS,32384242,,https://github.com/compomics/COSS,,202e7b0a87d9cd8362242fac0afa3e0f168ca9ee
COSS,32384242,,https://github.com/compomics/COSS,,202e7b0a87d9cd8362242fac0afa3e0f168ca9ee
MS2Rescore,38491990,,https://github.com/compomics/ms2rescore,,d4121cad220add428266e82596a23242fdee1784
psm_utils,36508242,,https://github.com/compomics/psm_utils,,22e64426a9d3d2ea3456fac1c7e7a3cc5e6479a5
meRgeION,37218737,,https://github.com/daniellyz/meRgeION2,,97e8d0afff76dbe2a43e4679187fe7b28a9d4820
DepoScope,39102416,10.1371/journal.pcbi.1011831,https://github.com/dimiboeckaerts/DepoScope,,0bdc7a8be8f2668706eadb50272c69853b51c8a0
ibmd,33362981,10.7717/peerj.10557,https://github.com/DoseResponse/bmd,,cb88643d508c6c2f415a931c06f171216eb66824
getphylo,39827349,10.1186/s12859-025-06035-1,https://github.com/drboothtj/getphylo_benchmarking,,2bbf6af65544270d575555d8459cc001bb180f5d
BioMOBS,38096184,10.1371/journal.pone.0295361,https://github.com/driesheylen123/BioMOBS,,9e98326378017c66c4ac83b56e666a65ae5cb685
Lemon-Tree,31688915,10.1093/bioinformatics/btz805,https://github.com/erbon7/lemon-tree,,fe6b641ed7e52e2f4b02acf7bc7787340e4eaa9c
GEnView,34951622,10.1093/bioinformatics/btab855,https://github.com/EbmeyerSt/GEnView,,7bbd42a96349b1c45b3f751429d3394d5d520519
CAMPP,32176694,10.1371/journal.pcbi.1007665,https://github.com/ELELAB/CAncer-bioMarker-Prediction-Pipeline-CAMPP,,cff2dd2ca112812599e31a1c1c8e6e685d8dfa02
