tool,overall,compatibility,fairness,maintainability,sustainability,security,scientific_impact
compareMS2,0.5314137378081122,0.43302799999999997,1.0,0.6582663818958333,0.16877011725324975,0.22370144841970407,0.424816018645578
WikiPathways ,0.5085948822169621,0.0,1.0,,0.2568864107702345,0.22370144841970407,0.9334775293677794
GROMACS,0.6535795466251989,0.7535046178569018,0.404656,0.6138753496458333,0.4875140136986301,1.0,0.9803147701968506
AiZynthFinder,0.7018348586795112,0.6585757321349203,0.805987,0.8358870362291666,0.3717053815436109,0.7003988122456777,0.8495377315792789
LayNii,0.5000977053605936,0.0,0.715078,0.9617316053333334,0.1836061730939301,0.22370144841970407,0.7333334103464206
WGDTree,0.4714021298893664,0.6585757321349203,0.715078,0.7138087686875,0.15891068773106556,0.0,0.3069918176299503
EFAST,0.4197763843406978,0.0,0.805987,0.6348203202708333,0.1702738208915599,0.22370144841970407,0.4538600342378706
pyROT,0.6501193904209394,0.6585757321349203,0.8,0.8261837879375,0.5546554493987932,0.7003988122456777,0.13366080847600129
AmsterdamUMCdb,0.6762545368849677,0.6585757321349203,0.715078,0.689017456625,0.41185338901089663,0.7003988122456777,0.9999999999999999
EFMviz,0.5261422710824061,0.0,0.715078,0.755216922875,0.3193320136986301,0.7003988122456777,0.6092143439446575
mzQC,0.5890829465788046,0.0,0.715078,0.9410650524999999,0.38363326752739013,0.7003988122456777,0.7266886186180344
iCRF Generator,0.4546859109645502,0.0,0.6640526343715181,0.893743561375,0.2647342236262759,0.22370144841970407,0.42717223921346903
PPNID,0.3974678643581726,0.0,0.465632,1.0,0.15096515334451227,0.0,0.545306168605099
MassyTools,0.4749415386365116,0.0,0.715078,0.8276985680833333,0.20182652329473186,0.22370144841970407,0.7217230118249471
Tanuki,0.9164480084375,,,0.9164480084375,,,
trie,0.35500295059931675,0.0,0.6640526343715181,0.6837442595625001,0.15891068773106556,0.22370144841970407,0.09824280795835358
Arrhythmia-Shiny-App-Package,0.3902585268117047,0.0,0.6640526343715181,0.8741250146666666,0.34818502723523276,0.0,0.0
InContext,0.4118940620120981,0.0,0.715078,1.0,0.15891068773106556,0.0,0.16951700782916868
msiFlow,0.6059993811403491,0.6585757321349203,0.805987,0.7527703708958333,0.35466331100560883,0.22370144841970407,0.6867015333101008
thromboSeq,0.29672376035733977,0.0,0.715078,0.20609417333333335,0.15096515334451227,0.0,0.5818891005534903
Dsuite,0.3639259645974764,0.0,0.465632,0.5527445071458333,0.17844357100674083,0.0,0.9999999999999999
GENOVA,0.43985569694416626,0.0,0.715078,0.5575592851666666,0.28012814510534895,0.22370144841970407,0.7679909263072086
ENCORE,0.45056060517767893,0.0,0.715078,0.865605609375,0.26905141709395947,0.0,0.5683649233509681
DataSHIELD dsBaseClient,0.4252714201376467,0.0,0.830377,0.40581709331249993,0.14026600647266418,0.22370144841970407,0.9074287142945091
PANDORA,0.5768979538789555,0.6585757321349203,0.830377,0.49714058904166664,0.13992212108917307,0.7003988122456777,0.6821231289256956
cTTN1,0.3580809289894724,0.0,0.465632,0.8058443648333333,0.15096515334451227,0.0,0.5450768513551391
